uid,step,rank,position,entropy,prob,text,token
val::math500::18::c7d731882930870c::sample0,60,1,136,2.0952744483947754,0.39711421728134155, Therefore,ĠTherefore
val::math500::18::c7d731882930870c::sample0,60,2,0,2.0422792434692383,0.3727131485939026,Given,Given
val::math500::18::c7d731882930870c::sample0,60,3,114,1.8499858379364014,0.24164490401744843, angle,Ġangle
val::math500::18::c7d731882930870c::sample0,60,4,123,1.841863989830017,0.2621726393699646,alternate,alternate
val::math500::18::c7d731882930870c::sample0,60,5,115,1.7095520496368408,0.5794041752815247, \(,Ġ\(
val::math500::18::c7d731882930870c::sample0,60,6,495,1.7036789655685425,0.21826037764549255, Let,ĠLet
val::math500::18::c7d731882930870c::sample0,60,7,103,1.6603575944900513,0.15337514877319336, an,Ġan
val::math500::18::c7d731882930870c::sample0,60,8,370,1.6478540897369385,0.20280985534191132,Let,Let
val::math500::18::c7d731882930870c::sample0,60,9,212,1.6264433860778809,0.07023843377828598, This,ĠThis
val::math500::18::c7d731882930870c::sample0,60,10,227,1.6117737293243408,0.005520639009773731, hence,Ġhence
val::math500::18::c7d731882930870c::sample0,120,1,9,2.583756685256958,0.2792541980743408, the,Ġthe
val::math500::18::c7d731882930870c::sample0,120,2,720,2.278095245361328,0.05932501703500748, manually,Ġmanually
val::math500::18::c7d731882930870c::sample0,120,3,490,2.262490749359131,0.009799635969102383, one,Ġone
val::math500::18::c7d731882930870c::sample0,120,4,476,2.0886144638061523,0.1817455291748047, directly,Ġdirectly
val::math500::18::c7d731882930870c::sample0,120,5,115,2.0296425819396973,0.2760452330112457, at,Ġat
val::math500::18::c7d731882930870c::sample0,120,6,488,1.9449503421783447,0.11457683145999908, but,Ġbut
val::math500::18::c7d731882930870c::sample0,120,7,0,1.921182632446289,0.10193833708763123,First,First
val::math500::18::c7d731882930870c::sample0,120,8,475,1.9207228422164917,0.32304102182388306, not,Ġnot
val::math500::18::c7d731882930870c::sample0,120,9,111,1.8866544961929321,0.2832346558570862, equal,Ġequal
val::math500::18::c7d731882930870c::sample0,120,10,319,1.7583460807800293,0.17181994020938873,Let,Let
val::math500::18::c7d731882930870c::sample0,180,1,106,2.6616110801696777,0.12961655855178833,Let,Let
val::math500::18::c7d731882930870c::sample0,180,2,111,2.3445746898651123,0.025039872154593468, measure,Ġmeasure
val::math500::18::c7d731882930870c::sample0,180,3,142,2.1164236068725586,0.07082660496234894, \,Ġ\
val::math500::18::c7d731882930870c::sample0,180,4,43,2.0660758018493652,0.19885852932929993,Since,Since
val::math500::18::c7d731882930870c::sample0,180,5,184,2.0369873046875,0.3444140553474426, Since,ĠSince
val::math500::18::c7d731882930870c::sample0,180,6,78,2.031468391418457,0.42920514941215515, \(,Ġ\(
val::math500::18::c7d731882930870c::sample0,180,7,0,1.946285605430603,0.37756797671318054,Given,Given
val::math500::18::c7d731882930870c::sample0,180,8,98,1.893493890762329,0.3293607532978058, corresponding,Ġcorresponding
val::math500::18::c7d731882930870c::sample0,180,9,451,1.8851230144500732,0.13659819960594177,Therefore,Therefore
val::math500::18::c7d731882930870c::sample0,180,10,271,1.7938532829284668,0.16427582502365112, Given,ĠGiven
val::math500::19::bc0d44d3d5575105::sample1,0,1,756,9.10032844543457,0.00015147807425819337, adjusted,Ġadjusted
val::math500::19::bc0d44d3d5575105::sample1,0,2,787,8.838056564331055,4.7545061534037814e-05,ney,ney
val::math500::19::bc0d44d3d5575105::sample1,0,3,726,8.757553100585938,4.864181846642168e-06,四五,åĽĽäºĶ
val::math500::19::bc0d44d3d5575105::sample1,0,4,779,8.7557954788208,0.0013016320299357176, allowing,Ġallowing
val::math500::19::bc0d44d3d5575105::sample1,0,5,764,8.74549674987793,0.0005520567647181451,ars,ars
val::math500::19::bc0d44d3d5575105::sample1,0,6,808,8.640222549438477,3.859275238937698e-05, driving,Ġdriving
val::math500::19::bc0d44d3d5575105::sample1,0,7,703,8.51102066040039,8.253780833911151e-05,ro,ro
val::math500::19::bc0d44d3d5575105::sample1,0,8,818,8.451822280883789,4.63635369669646e-05, easier,Ġeasier
val::math500::19::bc0d44d3d5575105::sample1,0,9,812,8.432223320007324,0.0019395553972572088,).,).
val::math500::19::bc0d44d3d5575105::sample1,0,10,806,8.430534362792969,0.002005306538194418, bound,Ġbound
val::math500::19::bc0d44d3d5575105::sample1,60,1,1465,4.258400917053223,0.018305405974388123,How,How
val::math500::19::bc0d44d3d5575105::sample1,60,2,1224,4.256399154663086,0.22708752751350403, smaller,Ġsmaller
val::math500::19::bc0d44d3d5575105::sample1,60,3,1467,3.9637694358825684,0.13760578632354736, positive,Ġpositive
val::math500::19::bc0d44d3d5575105::sample1,60,4,1220,3.7278261184692383,0.01207064464688301, validate,Ġvalidate
val::math500::19::bc0d44d3d5575105::sample1,60,5,853,3.5565080642700195,0.049284711480140686, avoid,Ġavoid
val::math500::19::bc0d44d3d5575105::sample1,60,6,855,3.549203634262085,0.040191687643527985, relational,Ġrelational
val::math500::19::bc0d44d3d5575105::sample1,60,7,860,3.46037220954895,0.023467402905225754, leveraging,Ġleveraging
val::math500::19::bc0d44d3d5575105::sample1,60,8,1092,3.451019287109375,0.03551841527223587, consider,Ġconsider
val::math500::19::bc0d44d3d5575105::sample1,60,9,848,3.4411048889160156,0.03445977345108986, re,Ġre
val::math500::19::bc0d44d3d5575105::sample1,60,10,1215,3.392070770263672,0.07264003157615662, simplify,Ġsimplify
val::math500::19::bc0d44d3d5575105::sample1,120,1,610,2.359851360321045,0.10604371130466461, method,Ġmethod
val::math500::19::bc0d44d3d5575105::sample1,120,2,612,2.274362087249756,0.4307032823562622, calculus,Ġcalculus
val::math500::19::bc0d44d3d5575105::sample1,120,3,140,2.1820149421691895,0.28111526370048523,Given,Given
val::math500::19::bc0d44d3d5575105::sample1,120,4,582,2.1668739318847656,0.2082422822713852, suggests,Ġsuggests
val::math500::19::bc0d44d3d5575105::sample1,120,5,464,2.0833969116210938,0.1557115614414215, solve,Ġsolve
val::math500::19::bc0d44d3d5575105::sample1,120,6,269,2.037813663482666,0.26486262679100037, one,Ġone
val::math500::19::bc0d44d3d5575105::sample1,120,7,468,1.9779188632965088,0.19443930685520172, which,Ġwhich
val::math500::19::bc0d44d3d5575105::sample1,120,8,490,1.9396227598190308,0.023821968585252762, systematic,Ġsystematic
val::math500::19::bc0d44d3d5575105::sample1,120,9,50,1.9288307428359985,0.028266089037060738,A,A
val::math500::19::bc0d44d3d5575105::sample1,120,10,606,1.9231241941452026,0.32409319281578064, Let,ĠLet
val::math500::19::bc0d44d3d5575105::sample1,180,1,240,3.2951865196228027,0.0562407448887825, shape,Ġshape
val::math500::19::bc0d44d3d5575105::sample1,180,2,239,2.4514803886413574,0.22383971512317657, the,Ġthe
val::math500::19::bc0d44d3d5575105::sample1,180,3,146,2.318838119506836,0.29173991084098816, properties,Ġproperties
val::math500::19::bc0d44d3d5575105::sample1,180,4,135,2.2142207622528076,0.2586696743965149, possibility,Ġpossibility
val::math500::19::bc0d44d3d5575105::sample1,180,5,145,2.1894798278808594,0.05752326175570488, other,Ġother
val::math500::19::bc0d44d3d5575105::sample1,180,6,204,2.1554951667785645,0.07018626481294632, recognizing,Ġrecognizing
val::math500::19::bc0d44d3d5575105::sample1,180,7,237,2.1415276527404785,8.073908247752115e-05, aid,Ġaid
val::math500::19::bc0d44d3d5575105::sample1,180,8,197,2.0771772861480713,0.1496584564447403,However,However
val::math500::19::bc0d44d3d5575105::sample1,180,9,116,1.948520302772522,0.23019467294216156, calculating,Ġcalculating
val::math500::19::bc0d44d3d5575105::sample1,180,10,186,1.9222732782363892,0.06442441046237946, analyze,Ġanalyze
val::math500::20::3df80308e3f022b6::sample1,0,1,1253,10.004945755004883,8.818507194519043e-05,强度,å¼ºåº¦
val::math500::20::3df80308e3f022b6::sample1,0,2,1191,9.714197158813477,0.0005404819385148585,ec,ec
val::math500::20::3df80308e3f022b6::sample1,0,3,220,9.666959762573242,0.0002109707857016474,˂,ËĤ
val::math500::20::3df80308e3f022b6::sample1,0,4,1257,9.634162902832031,0.00029794068541377783,查,æŁ¥
val::math500::20::3df80308e3f022b6::sample1,0,5,1370,9.609838485717773,0.00010072789154946804,绕,ç»ķ
val::math500::20::3df80308e3f022b6::sample1,0,6,1099,9.589746475219727,0.0007106452248990536,被,è¢«
val::math500::20::3df80308e3f022b6::sample1,0,7,1100,9.551691055297852,1.762342799338512e-05, fingertips,Ġfingertips
val::math500::20::3df80308e3f022b6::sample1,0,8,768,9.541735649108887,1.5818131942069158e-05,""""",",""""","
val::math500::20::3df80308e3f022b6::sample1,0,9,1171,9.539739608764648,4.884269947069697e-05,党,åħļ
val::math500::20::3df80308e3f022b6::sample1,0,10,807,9.53825855255127,0.0007487121620215476, �,Ġç»
val::math500::20::3df80308e3f022b6::sample1,60,1,203,1.9189260005950928,0.18188342452049255, expression,Ġexpression
val::math500::20::3df80308e3f022b6::sample1,60,2,21,1.7742139101028442,0.23916217684745789, the,Ġthe
val::math500::20::3df80308e3f022b6::sample1,60,3,217,1.7398998737335205,0.24545013904571533,_by,_by
val::math500::20::3df80308e3f022b6::sample1,60,4,0,1.724953532218933,0.5356272459030151,To,To
val::math500::20::3df80308e3f022b6::sample1,60,5,76,1.5918853282928467,0.087567999958992, go,Ġgo
val::math500::20::3df80308e3f022b6::sample1,60,6,44,1.5589585304260254,0.20128892362117767, (,Ġ(
val::math500::20::3df80308e3f022b6::sample1,60,7,239,1.4765994548797607,0.5587121844291687, Output,ĠOutput
val::math500::20::3df80308e3f022b6::sample1,60,8,82,1.4249540567398071,0.21682290732860565,".

",.ĊĊ
val::math500::20::3df80308e3f022b6::sample1,60,9,215,1.294031023979187,0.5922842621803284,multi,multi
val::math500::20::3df80308e3f022b6::sample1,60,10,16,1.185713529586792,0.491163969039917, can,Ġcan
val::math500::20::3df80308e3f022b6::sample1,120,1,158,1.9447169303894043,0.14984552562236786, scalar,Ġscalar
val::math500::20::3df80308e3f022b6::sample1,120,2,22,1.7869991064071655,0.24769870936870575, simpler,Ġsimpler
val::math500::20::3df80308e3f022b6::sample1,120,3,175,1.6567230224609375,0.044075217097997665,i,i
val::math500::20::3df80308e3f022b6::sample1,120,4,31,1.337956428527832,0.3141246736049652, in,Ġin
val::math500::20::3df80308e3f022b6::sample1,120,5,0,1.3303709030151367,0.656402051448822,To,To
val::math500::20::3df80308e3f022b6::sample1,120,6,17,1.2180492877960205,0.5056386590003967, can,Ġcan
val::math500::20::3df80308e3f022b6::sample1,120,7,82,1.1374790668487549,0.5643811821937561, need,Ġneed
val::math500::20::3df80308e3f022b6::sample1,120,8,222,1.1112449169158936,0.6706397533416748, final,Ġfinal
val::math500::20::3df80308e3f022b6::sample1,120,9,24,1.105107069015503,0.23197269439697266,".

",.ĊĊ
val::math500::20::3df80308e3f022b6::sample1,120,10,144,1.0886855125427246,0.23992034792900085, using,Ġusing
val::math500::20::3df80308e3f022b6::sample1,180,1,200,2.646484613418579,0.04611140489578247,ing,ing
val::math500::20::3df80308e3f022b6::sample1,180,2,182,1.9756817817687988,0.36840319633483887, scalar,Ġscalar
val::math500::20::3df80308e3f022b6::sample1,180,3,199,1.9124282598495483,0.027814039960503578,subtract,subtract
val::math500::20::3df80308e3f022b6::sample1,180,4,201,1.7950071096420288,0.07545065134763718,_complex,_complex
val::math500::20::3df80308e3f022b6::sample1,180,5,5,1.4196199178695679,0.047299593687057495, calculate,Ġcalculate
val::math500::20::3df80308e3f022b6::sample1,180,6,65,1.3594815731048584,0.2758437395095825, start,Ġstart
val::math500::20::3df80308e3f022b6::sample1,180,7,249,1.3205254077911377,0.39262184500694275,":

",:ĊĊ
val::math500::20::3df80308e3f022b6::sample1,180,8,0,1.2864776849746704,0.13112609088420868,First,First
val::math500::20::3df80308e3f022b6::sample1,180,9,210,1.225118637084961,0.5980494618415833, calculation,Ġcalculation
val::math500::20::3df80308e3f022b6::sample1,180,10,240,1.2192548513412476,0.5548760890960693, final,Ġfinal
val::math500::9::cd5d9530ec3e4205::sample0,0,1,833,9.090364456176758,7.387536606984213e-05,环,çİ¯
val::math500::9::cd5d9530ec3e4205::sample0,0,2,942,8.871390342712402,0.0002395018673269078,be,be
val::math500::9::cd5d9530ec3e4205::sample0,0,3,835,8.77956771850586,0.0006761035765521228,"),","),"
val::math500::9::cd5d9530ec3e4205::sample0,0,4,876,8.558446884155273,0.00022025578073225915, _,Ġ_
val::math500::9::cd5d9530ec3e4205::sample0,0,5,858,8.550769805908203,0.00010570145241217688,头,å¤´
val::math500::9::cd5d9530ec3e4205::sample0,0,6,892,8.545257568359375,0.03399822115898132,",",","
val::math500::9::cd5d9530ec3e4205::sample0,0,7,1042,8.53035831451416,4.746369813801721e-05,tm,tm
val::math500::9::cd5d9530ec3e4205::sample0,0,8,1075,8.485841751098633,0.017795689404010773,上,ä¸Ĭ
val::math500::9::cd5d9530ec3e4205::sample0,0,9,931,8.485556602478027,0.007690750993788242,中,ä¸Ń
val::math500::9::cd5d9530ec3e4205::sample0,0,10,1026,8.445422172546387,3.545968502294272e-05,扇,æīĩ
val::math500::9::cd5d9530ec3e4205::sample0,60,1,540,2.5409088134765625,0.177845761179924, Define,ĠDefine
val::math500::9::cd5d9530ec3e4205::sample0,60,2,110,2.425766706466675,0.2302490770816803, Consider,ĠConsider
val::math500::9::cd5d9530ec3e4205::sample0,60,3,60,2.3296258449554443,0.23138952255249023, Identify,ĠIdentify
val::math500::9::cd5d9530ec3e4205::sample0,60,4,93,2.199631452560425,0.15422628819942474, as,Ġas
val::math500::9::cd5d9530ec3e4205::sample0,60,5,543,2.17977237701416,0.3440169095993042, based,Ġbased
val::math500::9::cd5d9530ec3e4205::sample0,60,6,120,2.17116641998291,0.4613666236400604, group,Ġgroup
val::math500::9::cd5d9530ec3e4205::sample0,60,7,488,2.0529563426971436,0.3321980834007263,From,From
val::math500::9::cd5d9530ec3e4205::sample0,60,8,62,1.9632810354232788,0.3250155448913574, expression,Ġexpression
val::math500::9::cd5d9530ec3e4205::sample0,60,9,94,1.793166160583496,0.5466787815093994, \(,Ġ\(
val::math500::9::cd5d9530ec3e4205::sample0,60,10,63,1.777857780456543,0.2818335294723511, without,Ġwithout
val::math500::9::cd5d9530ec3e4205::sample0,120,1,568,3.2220394611358643,0.12628954648971558, Case,ĠCase
val::math500::9::cd5d9530ec3e4205::sample0,120,2,952,3.050816059112549,0.1373831331729889, that,Ġthat
val::math500::9::cd5d9530ec3e4205::sample0,120,3,1030,3.018040657043457,0.16994093358516693, re,Ġre
val::math500::9::cd5d9530ec3e4205::sample0,120,4,953,2.9115254878997803,0.05142654478549957, gives,Ġgives
val::math500::9::cd5d9530ec3e4205::sample0,120,5,781,2.5498785972595215,0.06434408575296402, calculation,Ġcalculation
val::math500::9::cd5d9530ec3e4205::sample0,120,6,1034,2.4523963928222656,0.11635829508304596, again,Ġagain
val::math500::9::cd5d9530ec3e4205::sample0,120,7,838,2.415602684020996,0.2862184941768646, re,Ġre
val::math500::9::cd5d9530ec3e4205::sample0,120,8,1040,2.410447120666504,0.024377362802624702, calculations,Ġcalculations
val::math500::9::cd5d9530ec3e4205::sample0,120,9,851,2.381117820739746,0.0003514565760269761, understand,Ġunderstand
val::math500::9::cd5d9530ec3e4205::sample0,120,10,777,2.350670337677002,0.012599924579262733, original,Ġoriginal
val::math500::9::cd5d9530ec3e4205::sample0,180,1,261,2.9068996906280518,0.02698720619082451, incorrectly,Ġincorrectly
val::math500::9::cd5d9530ec3e4205::sample0,180,2,122,2.8104848861694336,0.030078478157520294, only,Ġonly
val::math500::9::cd5d9530ec3e4205::sample0,180,3,258,2.73079776763916,0.1408759206533432, order,Ġorder
val::math500::9::cd5d9530ec3e4205::sample0,180,4,42,2.6765053272247314,0.3230235278606415, consider,Ġconsider
val::math500::9::cd5d9530ec3e4205::sample0,180,5,103,2.4316253662109375,0.20734557509422302, By,ĠBy
val::math500::9::cd5d9530ec3e4205::sample0,180,6,38,2.260432243347168,0.03534383326768875, analyze,Ġanalyze
val::math500::9::cd5d9530ec3e4205::sample0,180,7,265,2.1634297370910645,0.07811702787876129, now,Ġnow
val::math500::9::cd5d9530ec3e4205::sample0,180,8,36,2.017864465713501,0.2046346366405487, We,ĠWe
val::math500::9::cd5d9530ec3e4205::sample0,180,9,41,2.013446092605591,0.3891696035861969, and,Ġand
val::math500::9::cd5d9530ec3e4205::sample0,180,10,123,2.011190414428711,0.0819949060678482, count,Ġcount
val::math500::3::2b78f19c3079ebc6::sample3,0,1,101,10.311081886291504,0.0004167148726992309, .,Ġ.
val::math500::3::2b78f19c3079ebc6::sample3,0,2,99,10.232287406921387,1.1456043466750998e-05,🤧,ðŁ¤§
val::math500::3::2b78f19c3079ebc6::sample3,0,3,93,10.109073638916016,4.227678346069297e-06,ﯓ,ï¯ĵ
val::math500::3::2b78f19c3079ebc6::sample3,0,4,89,10.075230598449707,5.965315267530968e-06,	gui,ĉgui
val::math500::3::2b78f19c3079ebc6::sample3,0,5,91,10.005553245544434,0.00014293278218246996,gly,gly
val::math500::3::2b78f19c3079ebc6::sample3,0,6,102,9.974115371704102,0.00019702577264979482,How,How
val::math500::3::2b78f19c3079ebc6::sample3,0,7,97,9.807088851928711,0.0002541359281167388, cog,Ġcog
val::math500::3::2b78f19c3079ebc6::sample3,0,8,95,9.582359313964844,0.0002644857158884406,toFloat,toFloat
val::math500::3::2b78f19c3079ebc6::sample3,0,9,427,9.478964805603027,0.0005402265815064311,人,äºº
val::math500::3::2b78f19c3079ebc6::sample3,0,10,77,9.464452743530273,0.0008220234303735197,穑,ç©ĳ
val::math500::3::2b78f19c3079ebc6::sample3,60,1,160,2.3870513439178467,0.12935250997543335, choices,Ġchoices
val::math500::3::2b78f19c3079ebc6::sample3,60,2,275,2.0069894790649414,0.1673993617296219,Here,Here
val::math500::3::2b78f19c3079ebc6::sample3,60,3,232,1.6739437580108643,0.44000792503356934,:,:
val::math500::3::2b78f19c3079ebc6::sample3,60,4,154,1.6717684268951416,0.13648293912410736, (,Ġ(
val::math500::3::2b78f19c3079ebc6::sample3,60,5,283,1.487350344657898,0.3854557275772095, reasoning,Ġreasoning
val::math500::3::2b78f19c3079ebc6::sample3,60,6,222,1.4154523611068726,0.4555635154247284, listing,Ġlisting
val::math500::3::2b78f19c3079ebc6::sample3,60,7,161,1.4138402938842773,0.4085277318954468, are,Ġare
val::math500::3::2b78f19c3079ebc6::sample3,60,8,17,1.3986459970474243,0.2552412450313568, first,Ġfirst
val::math500::3::2b78f19c3079ebc6::sample3,60,9,159,1.3973294496536255,0.5269651412963867, the,Ġthe
val::math500::3::2b78f19c3079ebc6::sample3,60,10,142,1.3869190216064453,0.07619807869195938, This,ĠThis
val::math500::3::2b78f19c3079ebc6::sample3,120,1,314,2.0932564735412598,0.05199430137872696, div,Ġdiv
val::math500::3::2b78f19c3079ebc6::sample3,120,2,289,1.4964408874511719,0.13749925792217255, Number,ĠNumber
val::math500::3::2b78f19c3079ebc6::sample3,120,3,17,1.4394859075546265,0.2093760371208191, first,Ġfirst
val::math500::3::2b78f19c3079ebc6::sample3,120,4,223,1.3233256340026855,0.5192855596542358,So,So
val::math500::3::2b78f19c3079ebc6::sample3,120,5,246,1.261862874031067,0.480133056640625,```,```
val::math500::3::2b78f19c3079ebc6::sample3,120,6,26,1.156217336654663,0.08921762555837631, Once,ĠOnce
val::math500::3::2b78f19c3079ebc6::sample3,120,7,47,1.124571681022644,0.6470709443092346,The,The
val::math500::3::2b78f19c3079ebc6::sample3,120,8,242,1.0806794166564941,0.40165939927101135, with,Ġwith
val::math500::3::2b78f19c3079ebc6::sample3,120,9,258,1.0415416955947876,0.6923784017562866,"
",Ċ
val::math500::3::2b78f19c3079ebc6::sample3,120,10,57,1.0053865909576416,0.6237180829048157,":
",:Ċ
val::math500::3::2b78f19c3079ebc6::sample3,180,1,523,4.222517013549805,0.0016268910840153694,Car,Car
val::math500::3::2b78f19c3079ebc6::sample3,180,2,525,3.1311659812927246,0.2067391574382782, is,Ġis
val::math500::3::2b78f19c3079ebc6::sample3,180,3,526,2.6852269172668457,0.2801385819911957, making,Ġmaking
val::math500::3::2b78f19c3079ebc6::sample3,180,4,558,2.4321513175964355,0.013822653330862522, honey,Ġhoney
val::math500::3::2b78f19c3079ebc6::sample3,180,5,612,2.3998262882232666,0.15265022218227386, for,Ġfor
val::math500::3::2b78f19c3079ebc6::sample3,180,6,144,2.2043404579162598,0.024929016828536987,since,since
val::math500::3::2b78f19c3079ebc6::sample3,180,7,568,1.831195592880249,0.2722969055175781,.,.
val::math500::3::2b78f19c3079ebc6::sample3,180,8,524,1.8239941596984863,0.47651833295822144,la,la
val::math500::3::2b78f19c3079ebc6::sample3,180,9,57,1.748070240020752,0.4444752037525177, solution,Ġsolution
val::math500::3::2b78f19c3079ebc6::sample3,180,10,73,1.666772484779358,0.5344176292419434, We,ĠWe
